%SAFE,%PRETTY,%METASTR,%LAYOUT
.beach-chairs.beach-gear,Shop by Brand,,c-20070926
.beach-chairs.beach-gear.beach-products,Beach Gear,logos_vendor/copa.jpg,~beachmart_c_featprods_20111010
.beach-chairs.beach-gear.blueridge-lawn-chair,Blueridge Chair,logos_vendor/blue_ridge_logo.jpg,~beachmart_c_featprods_20111010
.beach-chairs.beach-gear.ergo-lounger-chaise,Ergo Lounger,logos_vendor/ergolounger.jpg,~beachmart_c_featprods_20111010
.beach-chairs.beach-gear.fiberbuilt-umbrellas,FiberBuilt,logos_vendor/fiberbuilt.jpg,~beachmart_c_featprods_20111010
.beach-chairs.beach-gear.frankford-umbrellas,Frankford Umbrellas,logos_vendor/frankford.jpg,~beachmart_c_featprods_20111010
.beach-chairs.beach-gear.galtech-umbrellas,Galtech,logos_vendor/galtech.jpg,~beachmart_c_featprods_20111010
.beach-chairs.beach-gear.gift_baskets,Gift Baskets,logos_vendor/gift_baskets.jpg,~beachmart_c_featprods_20111010
.beach-chairs.beach-gear.green-corner-umbrellas,Green Corner,logos_vendor/green_corner.jpg,~beachmart_c_featprods_20111010
.beach-chairs.beach-gear.kids-beachwear,Snapper Rock,logos_vendor/snapper.jpg,~beachmart_c_featprods_20111010
.beach-chairs.beach-gear.lafuma-chair-recliner,Lafuma,logos_vendor/lafuma.jpg,~beachmart_c_featprods_20111010
.beach-chairs.beach-gear.ostrich-beach-chair-chaise,Ostrich Chairs,logos_vendor/ostrich.jpg,~beachmart_c_featprods_20111010
.beach-chairs.beach-gear.picnic-ascot-accessories,Picnic Ascot,logos_vendor/picnicascot.jpg,~beachmart_c_featprods_20111010
.beach-chairs.beach-gear.picnic-basket-beyond,Picnic Beyond,logos_vendor/picnicbeyond.jpg,~beachmart_c_featprods_20111010
.beach-chairs.beach-gear.picnic-time-backpacks,Picnic Time,logos_vendor/picnictime.jpg,~beachmart_c_featprods_20111010
.beach-chairs.beach-gear.platypus,Platypus,logos_vendor/platypus.jpg,~beachmart_c_featsubcats_20120711
.beach-chairs.beach-gear.polywood-adirondack-chairs,PolyWood Furniture,logos_vendor/polywood.jpg,~beachmart_c_featprods_20111010
.beach-chairs.beach-gear.rio-beach-chair-umbrellas,Rio Brand,logos_vendor/rio-brands.jpg,~beachmart_c_featprods_20111010
.beach-chairs.beach-gear.shadebrella-umbrellas,ShadeZilla,logos_vendor/shadezilla.jpg,~beachmart_c_featprods_20111010
.beach-chairs.beach-gear.sun-tent,Abo Gear,logos_vendor/abogear.jpg,~beachmart_c_featprods_20111010
.beach-chairs.beach-gear.sutherland-baskets,SolarGuard,logos_vendor/solarguard.jpg,~beachmart_c_featprods_20111010
.beach-chairs.beach-gear.swimwear-bathing-suits,Wonder Wheeler,logos_vendor/wonderwheeler.jpg,~beachmart_c_featprods_20111010
.beach-chairs.beach-gear.telescope-beach-chairs,Telescope Casual,logos_vendor/telescope.jpg,~beachmart_c_featprods_20111010
.beach-chairs.beach-gear.wearever-chairs,WearEver Chairs,logos_vendor/wearever.jpg,~beachmart_c_featprods_20111010
.beach-chairs.beach-gear.wheeleez-beach-carts,Wheeleez,logos_vendor/wheeleez.jpg,~beachmart_c_featprods_20111010
